IB Symbol,Product Description,Symbol,Currency
AD-NYSE,NYSE ADVANCE DECLINE INDEX,AD-NYSE,USD
AXSVTN,NYSE 7-10 Year Treasury Bond Index,AXSVTN,USD
AXTWEN,NYSE 20 Year Plus Treasury Bond Index,AXTWEN,USD
COW.IV,IPATH DJ-AIG LIVESTOCK SUB IOPV,COW.IV,USD
DJP.IV,BARCLAYS BANK PLC-IPATH IOPV,DJP.IV,USD
DMT,Dow Jones Tranportation Index,DMT,USD
EXV,SELECT SECTOR SPDR ENERGY FUND,EXV,USD
FNAR,FTSE NAREIT All REITs Index,FNAR,USD
FNPSI,FTSE NAREIT Preferred Stock Index USD,FNPSI,USD
FXA.NV,CURRENCYSHARES AUSTRALIAN DOLLAR -NAV,FXA.NV,USD
FXB.NV,CURRENCYSHARES BRITISH POUND NAV,FXB.NV,USD
FXC.NV,CURRENCYSHARES CANADIAN DOLL -NAV,FXC.NV,USD
FXE.NV,CURRENCYSHARES EURO TRUST -NAV,FXE.NV,USD
FXE.TC,Rydex Euro Currency Trust Total Cash Component,FXE.TC,USD
FXF.NV,CURRENCYSHARES SWISS FRANC NAV,FXF.NV,USD
FXM.NV,CURRENCYSHARES MEXICAN PESO NAV,FXM.NV,USD
FXS.NV,CURRENCYSHARES SWEDISH KRONA NAV,FXS.NV,USD
FXY.NV,CURRENCYSHARES JAPANESE YEN NAV,FXY.NV,USD
GAZ.IV,IPATH DJ-AIG NAT GAS TR SUB IOPV,GAZ.IV,USD
GLD.IV,Streettracks Gold Trust - IOPV,GLD.IV,USD
IDV.NV,ISHARES DJ EPAC SEL DIV INDEX FUND NAV,IDV.NV,USD
JJA.IV,IPATH DJ AIG AGG TTL RTN SUB IOPV,JJA.IV,USD
JJC.IV,IPATH DJ AIG COPPER TOTAL RT IOPV,JJC.IV,USD
JJE.IV,IPATH DJ AIG ENRGY SUB-INDEX IOPV,JJE.IV,USD
JJG.IV,IPATH DJ AIG GRAINS TTL RTN IOPV,JJG.IV,USD
JJM.IV,IPATH DJ-AIG INDSTR METALS IOPV,JJM.IV,USD
JJN.IV,IPATH DJ AIG NICKEL TTL RTN IOPV,JJN.IV,USD
JJUFF.IV,iPath DJ-AGI Aluminum OPV,JJUFF.IV,USD
MLEIFCTX,Merrill Lynch Factor Model - Exchange Series,MLEIFCTX,USD
MZG.NV,CLAYMORE MSTAR MANU NAV,MZG.NV,USD
MZN.NV,CLAYMORE MSTAR INFO NAV,MZN.NV,USD
MZO.NV,CLAYMORE MSTAR SERV NAV,MZO.NV,USD
NY2LAAPL,NYSE Leveraged 2X AAPL Index,NY2LAAPL,USD
NY2LAMZN,NYSE Leveraged 2x AMZN Index,NY2LAMZN,USD
NY2LAZN,NYSE Leveraged 2x AZN Index,NY2LAZN,GBP
NY2LBP,NYSE Leveraged 2x BP Index,NY2LBP,GBP
NY2LC,NYSE Leveraged 2x C Index,NY2LC,USD
NY2LCRM,NYSE Leveraged 2x CRM Index,NY2LCRM,USD
NY2LCSCO,NYSE Leveraged 2x CSCO Index,NY2LCSCO,USD
NY2LDIS,NYSE Leveraged 2x DIS Index,NY2LDIS,USD
NY2LENEL,NYSE Leveraged 2x ENEL Index,NY2LENEL,EUR
NY2LENI,NYSE Leveraged 2X ENI Index,NY2LENI,EUR
NY2LFB,NYSE Leveraged 2x FB Index,NY2LFB,USD
NY2LGE,NYSE Leveraged 2x GE Index,NY2LGE,USD
NY2LGOOG,NYSE Leveraged 2x GOOG Index,NY2LGOOG,USD
NY2LGS,NYSE Leveraged 2x GS Index,NY2LGS,USD
NY2LGSK,NYSE Leveraged 2x GSK Index,NY2LGSK,GBP
NY2LHSBA,NYSE Leveraged 2X HSBC Index,NY2LHSBA,GBP
NY2LIBM,NYSE Leveraged 2X IBM Index,NY2LIBM,USD
NY2LINTC,NYSE Leveraged 2x INTC Index,NY2LINTC,USD
NY2LJNJ,NYSE Leveraged 2x JNJ Index,NY2LJNJ,USD
NY2LJPM,NYSE Leveraged 2x JPM Index,NY2LJPM,USD
NY2LKO,NYSE Leveraged 2x KO Index,NY2LKO,USD
NY2LMCD,NYSE Leveraged 2x MCD Index,NY2LMCD,USD
NY2LMSFT,NYSE Leveraged 2x MSFT Index,NY2LMSFT,USD
NY2LNFLX,NYSE Leveraged 2x NFLX Index,NY2LNFLX,USD
NY2LNKE,NYSE Leveraged 2x NKE Index,NY2LNKE,USD
NY2LNVDA,NYSE Leveraged 2x NVDA Index,NY2LNVDA,USD
NY2LORCL,NYSE Leveraged 2x ORCL Index,NY2LORCL,USD
NY2LPFE,NYSE Leveraged 2x PFE Index,NY2LPFE,USD
NY2LPYPL,NYSE Leveraged 2x PYPL Index,NY2LPYPL,USD
NY2LRDSB,NYSE Leveraged 2x RDSB Index,NY2LRDSB,GBP
NY2LSBUX,NYSE Leveraged 2x SBUX Index,NY2LSBUX,USD
NY2LULVR,NYSE Leveraged 2x ULVR Index,NY2LULVR,GBP
NY2LV,NYSE Leveraged 2x V Index,NY2LV,USD
NY2LVOD,NYSE Leveraged 2x VOD Index,NY2LVOD,GBP
NYE.ID,NYSE ENERGY INDEX,NYE.ID,USD
NYFANG,NYSE FANG+ Index,NYFANG,USD
NYID,NYSE 100 INDEX,NYID,USD
NYK.ID,NYSE FINANCIAL INDEX,NYK.ID,USD
NYP.ID,NYSE HEALTHCARE INDEX,NYP.ID,USD
NYXBT,The NYSE Bitcoin Index,NYXBT,USD
PAF.IV,POWERSHARES FTSE RAFI ASIA PACIFIC - JAPAN PORT IOPV,PAF.IV,USD
PAF.NV,POWERSHARES FTSE RAFI ASIA PACIFIC - JAPAN PORT NAV,PAF.NV,USD
PEF.IV,POWERSHARES FTSE RAFI EUROPE PORT IOPV,PEF.IV,USD
PEF.NV,POWERSHARES FTSE RAFI EUROPE PORT NAV,PEF.NV,USD
PJO.IV,POWERSHARES FTSE RAFI JAPAN PORT IOPV,PJO.IV,USD
PJO.NV,POWERSHARES FTSE RAFI JAPAN PORT NAV,PJO.NV,USD
PXF.IV,POWERSHARES FTSE RAFI DEV. MKTS - US PORT IOPV,PXF.IV,USD
PXF.NV,POWERSHARES FTSE RAFI DEV. MKTS - US PORT NAV,PXF.NV,USD
TFNPSI,FTSE NAREIT Preferred Stock Total Return Index USD,TFNPSI,USD
TICK-NYSE,NYSE TICK INDEX,TICK-NYSE,USD
TIKI,Dow Jones Uptk-Downtk,TIKI,USD
TRIN-NYSE,NYSE TRIN (OR ARMS) INDEX,TRIN-NYSE,USD
USDOLLAR,Dow Jones FXCM Dollar Index,USDOLLAR,USD
USTLBD,NYSE US Long Bond Treasury Futures Index,USTLBD,USD
USTTEN,NYSE US 10 Year Treasury Futures Index,USTTEN,USD
VOL-NYSE,NYSE VOLUME INDEX,VOL-NYSE,USD
XPJ.IV,STREETTRACKS SER TR SPDR PHARM IOPV,XPJ.IV,USD
